id,budget,genres,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
11836,30000000,"['Familial', 'Animation', 'Comédie', 'Fantastique', 'Aventure']",en,55.707,2004-11-14,140161792,87,6.988,2521
764835,0,['Thriller'],en,55.644,2021-09-12,0,84,6.057,334
927341,0,"['Thriller', 'Action']",en,55.558,2022-04-01,0,79,6.395,95
9702,35000000,"['Crime', 'Action', 'Drame', 'Thriller']",en,55.52,1993-02-05,0,190,8.117,1053
61791,93000000,"['Thriller', 'Action', 'Drame', 'Science-Fiction']",en,55.51,2011-08-03,482860185,120,7.284,10533
38575,40000000,"['Action', 'Aventure', 'Drame', 'Familial']",en,55.335,2010-06-10,359126022,139,6.524,5382
937046,0,"['Crime', 'Téléfilm']",fr,55.272,2022-04-03,0,90,6.614,22
9325,4000000,"['Familial', 'Animation', 'Aventure']",en,55.252,1967-10-18,205843612,78,7.28,5650
71676,57000000,"['Action', 'Fantastique', 'Thriller']",en,55.22,2011-12-10,132563930,95,5.001,3415
780609,0,"['Horreur', 'Thriller', 'Fantastique']",en,55.188,2022-05-20,7168717,100,6.284,702
232672,40000000,"['Comédie', 'Romance']",en,55.175,2014-05-21,127994610,117,6.858,3076
9769,62000000,['Drame'],en,55.159,1997-09-27,1071255,137,7.118,1501
1039627,0,['Animation'],en,55.099,2022-10-24,0,0,7.853,34
545609,65000000,"['Drame', 'Action', 'Thriller']",en,54.916,2020-04-24,0,116,7.343,4931
542507,0,"['Animation', 'Action', 'Aventure', 'Drame', 'Mystère']",ja,54.894,2021-02-11,0,54,5.6,16
72331,69000000,"['Action', 'Fantastique', 'Horreur']",en,54.86,2012-06-20,116471580,105,5.682,2982
9453,17500000,"['Drame', 'Histoire', 'Romance']",en,54.758,1979-08-14,23438120,120,5.992,657
157544,13000000,"['Thriller', 'Horreur']",en,54.694,2015-07-23,1784763,91,5.297,671
101,16000000,"['Crime', 'Drame', 'Action']",en,54.691,1994-09-14,45284974,110,8.32,13172
85,18000000,"['Aventure', 'Action']",en,54.679,1981-06-12,389925971,115,7.922,10903
813258,0,"['Animation', 'Comédie', 'Fantastique']",en,54.605,2021-04-02,0,6,7.419,333
14324,38000000,"['Aventure', 'Action', 'Comédie', 'Romance']",en,54.59,2007-12-17,5410749,93,4.5,257
175112,0,"['Animation', 'Familial']",en,54.582,2014-02-13,20300000,88,6.911,862
630639,0,['Drame'],ja,54.569,1985-01-15,0,69,6.0,15
447332,17000000,"['Horreur', 'Drame', 'Science-Fiction']",en,54.52,2018-04-03,341000000,90,7.401,12666
299537,152000000,"['Action', 'Aventure', 'Science-Fiction']",en,54.431,2019-03-06,1131416446,123,6.863,14192
59053,0,['Drame'],it,54.419,1991-11-15,0,93,6.952,114
522938,50000000,"['Action', 'Thriller', 'Drame']",en,54.312,2019-09-19,91490353,101,6.512,3376
278154,105000000,"['Aventure', 'Animation', 'Familial', 'Comédie', 'Science-Fiction']",en,54.268,2016-06-23,408579038,95,6.059,4032
814338,0,"['Drame', 'Romance']",en,54.217,2022-09-02,0,126,6.742,256
611812,0,['Romance'],ko,54.214,2018-08-09,0,66,6.75,4
57158,250000000,"['Fantastique', 'Aventure', 'Action']",en,54.209,2013-12-11,958400000,161,7.573,11927
140607,245000000,"['Aventure', 'Action', 'Science-Fiction', 'Fantastique']",en,54.208,2015-12-15,2068223624,135,7.3,17948
1027385,0,"['Thriller', 'Horreur']",en,54.159,2022-10-21,0,96,7.6,44
49519,135000000,"['Animation', 'Aventure', 'Familial', 'Fantastique', 'Comédie', 'Action']",en,54.15,2013-03-15,587204668,92,6.909,6419
294254,61000000,"['Science-Fiction', 'Action', 'Thriller', 'Aventure']",en,54.105,2015-09-09,312296056,133,6.725,9423
400928,7000000,"['Drame', 'Comédie']",en,54.09,2017-04-12,40343446,101,8.049,4761
39102,0,"['Action', 'Animation', 'Science-Fiction']",ja,54.036,1991-03-19,16400000,50,6.427,438
240832,40000000,"['Action', 'Science-Fiction']",en,53.937,2014-07-25,458863600,89,6.432,14825
64530,0,['Horreur'],cn,53.925,1998-06-12,0,84,6.0,2
49529,250000000,"['Action', 'Aventure', 'Science-Fiction']",en,53.906,2012-03-07,284139100,140,6.269,5070
259316,180000000,"['Fantastique', 'Aventure', 'Familial']",en,53.861,2016-11-16,809342332,133,7.338,17571
660982,0,['Comédie'],en,53.776,2020-10-06,0,95,6.3,518
429,1200000,['Western'],it,53.755,1966-12-23,25253887,161,8.482,7347
10693,4000000,"['Animation', 'Familial', 'Aventure', 'Fantastique']",en,53.738,1953-02-05,87404651,76,7.227,4816
420817,183000000,"['Aventure', 'Fantastique', 'Romance', 'Familial']",en,53.715,2019-05-22,1054304000,128,7.119,9178
883987,0,['Thriller'],en,53.708,2020-03-14,0,89,5.893,14
5336,0,"['Drame', 'Guerre']",it,53.705,1976-01-10,22017,115,6.459,1685
769636,0,"['Drame', 'Thriller']",es,53.624,2022-03-18,0,105,5.877,130
268,35000000,"['Fantastique', 'Action', 'Crime']",en,53.532,1989-06-23,411348924,126,7.215,6867
106,15000000,"['Science-Fiction', 'Action', 'Aventure', 'Thriller']",en,53.46,1987-06-12,98267558,107,7.5,6938
440,40000000,"['Fantastique', 'Action', 'Science-Fiction', 'Thriller', 'Horreur']",en,53.423,2007-12-25,130290885,94,5.136,2466
8960,150000000,"['Fantastique', 'Action']",en,53.362,2008-07-01,629443428,92,6.343,8690
1010261,0,"['Téléfilm', 'Romance', 'Comédie']",en,53.271,2023-04-25,0,90,9.0,1
10567,127500000,"['Familial', 'Animation']",en,53.266,2000-05-19,354248063,82,6.524,2217
15092,20000000,"['Action', 'Thriller', 'Crime']",en,53.238,2009-04-16,34560577,95,6.037,2480
770903,0,"['Drame', 'Romance']",ko,53.234,2019-01-14,0,68,5.0,5
75432,0,"['Romance', 'Drame']",ko,53.223,2003-06-27,0,85,4.4,17
249397,0,"['Drame', 'Mystère']",en,53.203,2013-12-25,4934725,119,6.772,2601
511424,4600000,"['Drame', 'Romance']",en,53.125,2022-09-30,0,103,6.0,5
878361,0,"['Drame', 'Histoire']",en,53.088,2023-04-27,0,128,2.0,1
667520,0,"['Animation', 'Drame', 'Romance', 'Fantastique']",ja,53.013,2020-06-18,0,105,7.952,1160
397567,18300000,"['Action', 'Aventure', 'Fantastique', 'Thriller']",ko,52.928,2017-12-14,125983972,139,8.1,821
630586,0,"['Horreur', 'Thriller']",en,52.908,2021-01-26,3777969,110,5.994,894
404250,0,"['Comédie', 'Animation', 'Aventure', 'Action']",ja,52.851,2004-07-09,0,84,7.205,44
18240,40000000,"['Comédie', 'Romance', 'Drame']",en,52.811,2009-06-01,317375031,107,7.113,5959
10527,150000000,"['Familial', 'Aventure', 'Animation', 'Comédie']",en,52.81,2008-10-30,603900354,95,6.476,6171
339984,16000000,"['Familial', 'Drame']",en,52.794,2016-03-17,73983359,109,7.445,1071
3170,858000,"['Animation', 'Drame', 'Familial']",en,52.77,1942-02-11,267447150,69,7.009,5072
546554,40000000,"['Comédie', 'Crime', 'Mystère']",en,52.748,2019-11-27,309232797,130,7.854,10630
34851,40000000,"['Science-Fiction', 'Action', 'Thriller']",en,52.723,2010-07-03,127233108,107,6.238,3588
577922,205000000,"['Action', 'Thriller', 'Science-Fiction']",en,52.676,2020-08-22,363129000,150,7.204,8233
9836,100000000,"['Animation', 'Comédie', 'Familial']",en,52.66,2006-11-16,384335608,108,6.16,4593
449443,30000000,"['Action', 'Thriller', 'Crime']",en,52.563,2018-01-18,80509622,140,6.762,2518
1012801,0,['Animation'],en,52.53,2022-10-14,0,64,7.322,45
975714,0,"['Thriller', 'Crime', 'Drame']",en,52.498,2022-06-16,0,99,5.955,122
49444,150000000,"['Animation', 'Familial']",en,52.439,2011-05-25,665692281,95,6.946,6135
1081291,0,"['Romance', 'Comédie']",de,52.379,2023-03-08,0,109,6.612,67
10112,4000000,"['Animation', 'Comédie', 'Familial', 'Aventure']",en,52.379,1970-12-24,55675257,81,7.295,4516
798544,0,"['Animation', 'Drame', 'Mystère', 'Fantastique']",ja,52.362,2021-11-12,0,40,7.219,80
697843,0,"['Action', 'Thriller']",en,52.228,2023-06-16,0,0,0.0,0
630,2777000,"['Aventure', 'Fantastique', 'Familial']",en,52.21,1939-08-15,33754967,101,7.584,4911
37165,60000000,"['Comédie', 'Drame']",en,52.207,1998-06-04,264118201,102,8.129,16121
76757,176000003,"['Science-Fiction', 'Fantastique', 'Action']",en,52.178,2015-02-04,183987723,128,5.426,6205
1010823,0,"['Animation', 'Familial', 'Science-Fiction', 'Comédie']",en,52.169,2022-07-18,0,5,7.326,192
268896,150000000,"['Action', 'Fantastique', 'Science-Fiction', 'Aventure']",en,52.059,2018-03-21,290061297,111,6.116,4341
373879,0,"['Action', 'Animation', 'Aventure', 'Comédie', 'Fantastique']",ja,52.028,2015-12-20,0,105,7.69,166
39103,0,"['Action', 'Animation', 'Science-Fiction']",ja,51.927,1992-03-07,19581369,44,6.6,534
707610,0,"['Drame', 'Romance']",ko,51.924,2020-05-06,0,69,4.0,6
705861,0,"['Drame', 'Comédie']",en,51.92,2022-06-03,0,117,7.813,2030
946581,0,"['Drame', 'Téléfilm', 'Thriller']",en,51.893,2022-03-12,0,85,7.3,10
528547,0,['Romance'],ko,51.864,2018-05-22,0,83,10.0,1
9070,15000000,"['Action', 'Aventure', 'Science-Fiction', 'Fantastique']",en,51.822,1995-06-30,66400000,92,5.82,607
518068,18300000,"['Fantastique', 'Action', 'Thriller', 'Aventure']",ko,51.781,2018-08-01,112790210,141,8.204,479
50546,80000000,"['Comédie', 'Romance']",en,51.763,2011-02-10,214945591,111,6.674,5093
568160,0,"['Animation', 'Drame', 'Fantastique', 'Romance']",ja,51.714,2019-06-19,186965409,113,8.027,1802
1734,98000000,"['Aventure', 'Action', 'Fantastique']",en,51.702,2001-05-04,443280904,129,6.34,6241
615469,0,"['Science-Fiction', 'Thriller']",en,51.62,2022-06-17,0,107,5.824,1251
18823,125000000,"['Aventure', 'Fantastique', 'Action']",en,51.579,2010-03-31,493214993,106,5.864,5714
550205,0,"['Animation', 'Familial', 'Comédie', 'Fantastique']",en,51.544,2021-01-15,25860000,98,7.979,1091
608,140000000,"['Action', 'Aventure', 'Comédie', 'Science-Fiction']",en,51.521,2002-07-03,445135288,90,6.356,8950
233651,0,['Thriller'],ja,51.48,1971-12-29,0,68,5.8,5
1250,110000000,"['Thriller', 'Action', 'Fantastique']",en,51.47,2007-01-15,228738393,105,5.533,5294
136799,125000000,"['Familial', 'Animation', 'Fantastique', 'Aventure', 'Comédie', 'Musique']",en,51.457,2016-10-13,346864462,93,6.677,3214
1029446,0,['Drame'],tl,51.41,2022-10-28,0,113,7.217,23
210577,61000000,"['Mystère', 'Thriller', 'Drame']",en,51.385,2014-10-01,369330363,145,7.892,16876
1057577,0,"['Drame', 'Thriller']",nl,51.343,2023-03-17,0,90,4.782,85
221912,0,['Thriller'],cn,51.299,1999-01-17,0,81,5.667,6
960096,0,['Thriller'],es,51.271,2022-08-18,0,87,5.0,2
859041,0,['Action'],zh,51.254,2021-05-06,0,97,6.9,52
125509,3000000,"['Horreur', 'Thriller']",en,51.217,2012-10-23,0,87,5.396,797
329505,0,"['Drame', 'Comédie']",it,51.212,1984-05-04,0,88,3.75,6
455236,0,"['Action', 'Crime', 'Thriller']",en,51.205,2018-02-06,0,105,6.121,408
314242,0,['Documentaire'],en,51.165,2014-11-03,0,56,3.4,5
913290,4500000,"['Horreur', 'Mystère', 'Thriller']",en,51.16,2022-09-08,45352337,103,6.919,1415
39104,0,"['Action', 'Animation', 'Science-Fiction']",ja,51.121,1992-07-11,18554927,45,6.727,440
82023,230758,"['Drame', 'Romance']",de,51.116,2011-12-07,0,38,6.119,88
8392,3700000,"['Fantastique', 'Animation', 'Familial']",ja,51.056,1988-04-16,45000000,87,8.1,6787
127585,250000000,"['Action', 'Aventure', 'Science-Fiction']",en,51.036,2014-05-15,747862775,131,7.522,14096
