id,budget,genres,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
661791,3749231,"['Drame', 'Horreur']",es,70.178,2022-01-28,1817696,101,5.959,350
568620,88000000,"['Action', 'Aventure']",en,70.147,2021-07-23,36964325,121,6.573,1318
542507,0,"['Animation', 'Action', 'Aventure', 'Drame', 'Mystère']",ja,70.119,2021-02-11,0,54,5.6,16
345887,62000000,"['Action', 'Thriller', 'Crime']",en,70.051,2018-07-19,190400157,120,6.672,4366
11849,35000000,"['Drame', 'Aventure', 'Fantastique']",en,70.049,2000-12-08,15185241,103,4.26,519
314242,0,['Documentaire'],en,69.974,2014-11-03,0,56,3.4,5
147441,140000000,"['Aventure', 'Drame', 'Action']",en,69.888,2014-12-03,268031828,150,5.837,4146
791348,0,"['Animation', 'Action', 'Aventure', 'Horreur']",en,69.805,2022-05-02,0,27,6.961,114
689700,0,['Crime'],en,69.71,2022-01-28,0,93,6.411,270
109439,103000000,['Comédie'],en,69.567,2013-05-23,362000072,100,6.2,7863
61791,93000000,"['Thriller', 'Action', 'Drame', 'Science-Fiction']",en,69.526,2011-08-03,482860185,120,7.3,10530
11052,20000000,"['Animation', 'Fantastique', 'Action', 'Science-Fiction']",en,69.517,2004-08-13,29170410,86,6.065,291
86331,1344000,"['Drame', 'Romance']",fr,69.509,2011-10-06,0,90,6.0,706
419430,4500000,"['Mystère', 'Thriller', 'Horreur']",en,69.425,2017-02-24,255407969,104,7.619,15544
553604,0,"['Thriller', 'Action', 'Crime', 'Drame']",en,69.325,2020-09-03,31220247,98,6.515,1454
672322,0,"['Action', 'Aventure', 'Drame', 'Romance']",ja,69.219,2021-06-04,0,138,7.688,346
263115,97000000,"['Action', 'Drame', 'Science-Fiction']",en,69.044,2017-02-28,619021436,138,7.815,17687
975714,0,"['Thriller', 'Crime', 'Drame']",en,69.042,2022-06-16,0,99,5.955,122
812488,0,"['Thriller', 'Fantastique', 'Horreur']",es,69.008,2022-09-02,0,85,5.8,28
950,80000000,"['Animation', 'Familial', 'Comédie', 'Aventure']",en,68.936,2006-03-29,660998756,91,6.681,8837
13186,4000000,"['Horreur', 'Thriller']",en,68.909,2007-08-25,0,93,6.038,1160
293167,185000000,"['Action', 'Aventure', 'Fantastique']",en,68.847,2017-03-08,566652812,118,6.511,9464
8681,25000000,"['Action', 'Thriller']",en,68.82,2008-02-18,226830568,94,7.4,10118
398818,4000000,"['Romance', 'Drame']",en,68.788,2017-09-01,43143046,131,8.174,11075
68721,200000000,"['Action', 'Aventure', 'Science-Fiction']",en,68.735,2013-04-18,1215577205,130,6.9,20568
335988,217000000,"['Action', 'Aventure', 'Science-Fiction']",en,68.732,2017-06-16,605425157,149,6.054,5460
345940,150000000,"['Action', 'Science-Fiction', 'Horreur']",en,68.493,2018-08-09,530517320,113,6.21,6363
9769,62000000,['Drame'],en,68.455,1997-09-27,1071255,137,7.116,1500
760926,6500000,"['Action', 'Aventure', 'Thriller']",en,68.209,2022-01-13,176048,97,6.277,464
424,22000000,"['Drame', 'Histoire', 'Guerre']",en,67.972,1993-12-15,321365567,195,8.569,13983
1012801,0,['Animation'],en,67.866,2022-10-14,0,64,7.322,45
960096,0,['Thriller'],es,67.861,2022-08-18,0,87,5.0,2
157544,13000000,"['Thriller', 'Horreur']",en,67.81,2015-07-23,1784763,91,5.298,670
619730,35000000,"['Thriller', 'Mystère', 'Science-Fiction']",en,67.799,2022-09-21,86669039,123,6.86,1547
11544,80000000,"['Animation', 'Familial']",en,67.746,2002-06-21,273144151,85,7.507,5456
11036,29000000,"['Romance', 'Drame']",en,67.703,2004-06-25,115603229,123,7.877,10282
72013,2017928,"['Animation', 'Fantastique']",ja,67.609,2010-01-23,0,50,6.0,86
353486,90000000,"['Aventure', 'Action', 'Comédie', 'Fantastique']",en,67.556,2017-12-09,962102237,119,6.824,12449
759507,0,"['Action', 'Aventure', 'Thriller']",en,67.553,2022-10-12,0,95,5.382,119
484907,0,"['Horreur', 'Drame', 'Mystère']",en,67.552,2022-04-01,0,71,4.316,19
105,19000000,"['Aventure', 'Comédie', 'Science-Fiction']",en,67.461,1985-07-03,381109762,116,8.312,17836
1366,1000000,"['Drame', 'Romance']",en,67.413,1976-11-21,117250402,119,7.787,6808
